"キックオフ","ホーム","試合状況","試合状況.1","試合状況.2","アウェイ"
"9/15（土）20:30","トテナム・ホットスパー","","1 - 2試合終了","","リヴァプール"
"9/15（土）23:00","AFCボーンマウス","","4 - 2試合終了","日本","レスター・シティ"
"9/15（土）23:00","チェルシー","","4 - 1試合終了","","カーディフ・シティ"
"9/15（土）23:00","ハダーズフィールド・タウン","","0 - 1試合終了","","クリスタル・パレス"
"9/15（土）23:00","マンチェスター・シティ","","3 - 0試合終了","","フラム"
"9/15（土）23:00","ニューカッスル・ユナイテッド","日本","1 - 2試合終了","","アーセナル"
"9/15（土）25:30","ワトフォード","","1 - 2試合終了","","マンチェスター・ユナイテッド"
"9/16（日）21:30","ウルヴァーハンプトン・ワンダラーズ","","-試合前","","バーンリーFC"
"9/16（日）24:00","エヴァートン","","-試合前","","ウェストハム・ユナイテッド"
"9/17（月）28:00","サウザンプトン","日本","-試合前","","ブライトン・アンド・ホーヴ・アルビオン"
